Timeline Trace
Generated on: 2020-10-15 16:26:17
Msec since Epoch: 1602779177526
Profiled application: host
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 12115fd4054cb46a5ade62fafa74c523f59116e6
Build version date: 2020-07-09 15:20:59 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
3.785196,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
3.816467,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
3.822272,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
3.825505,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
3.830109,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
3.833146,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
3.836303,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
3.838877,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
3.843255,clGetPlatformInfo|General,START,,,,,,,,,,,4,
3.846408,clGetPlatformInfo|General,END,,,,,,,,,,,4,
3.849188,clGetPlatformInfo|General,START,,,,,,,,,,,5,
3.851892,clGetPlatformInfo|General,END,,,,,,,,,,,5,
3.861194,clGetPlatformInfo|General,START,,,,,,,,,,,6,
3.864044,clGetPlatformInfo|General,END,,,,,,,,,,,6,
3.866606,clGetPlatformInfo|General,START,,,,,,,,,,,7,
3.869202,clGetPlatformInfo|General,END,,,,,,,,,,,7,
3.87174,clGetPlatformInfo|General,START,,,,,,,,,,,8,
3.874597,clGetPlatformInfo|General,END,,,,,,,,,,,8,
3.877198,clGetPlatformInfo|General,START,,,,,,,,,,,9,
3.880042,clGetPlatformInfo|General,END,,,,,,,,,,,9,
3.882616,clGetPlatformInfo|General,START,,,,,,,,,,,10,
3.885268,clGetPlatformInfo|General,END,,,,,,,,,,,10,
3.887838,clGetPlatformInfo|General,START,,,,,,,,,,,11,
3.890409,clGetPlatformInfo|General,END,,,,,,,,,,,11,
3.892969,clGetPlatformInfo|General,START,,,,,,,,,,,12,
3.895702,clGetPlatformInfo|General,END,,,,,,,,,,,12,
3.898262,clGetPlatformInfo|General,START,,,,,,,,,,,13,
3.900839,clGetPlatformInfo|General,END,,,,,,,,,,,13,
3.903419,clGetPlatformInfo|General,START,,,,,,,,,,,14,
3.905998,clGetPlatformInfo|General,END,,,,,,,,,,,14,
3.908532,clGetPlatformInfo|General,START,,,,,,,,,,,15,
3.911127,clGetPlatformInfo|General,END,,,,,,,,,,,15,
3.921036,clGetPlatformInfo|General,START,,,,,,,,,,,16,
3.923907,clGetPlatformInfo|General,END,,,,,,,,,,,16,
3.926584,clGetPlatformInfo|General,START,,,,,,,,,,,17,
3.92916,clGetPlatformInfo|General,END,,,,,,,,,,,17,
3.952036,clGetDeviceIDs|General,START,,,,,,,,,,,18,
3.957705,clGetDeviceIDs|General,END,,,,,,,,,,,18,
3.96072,clGetDeviceIDs|General,START,,,,,,,,,,,19,
3.963747,clGetDeviceIDs|General,END,,,,,,,,,,,19,
3.969607,clRetainDevice|General,START,,,,,,,,,,,20,
3.972851,clRetainDevice|General,END,,,,,,,,,,,20,
3.975704,clRetainDevice|General,START,,,,,,,,,,,21,
3.978444,clRetainDevice|General,END,,,,,,,,,,,21,
3.99065,clCreateContext|General,START,,,,,,,,,,,22,
3.999673,clCreateContext|General,END,,,,,,,,,,,22,
4.130071,clCreateProgramWithBinary|General,START,,,,,,,,,,,23,
13.017517,clCreateProgramWithBinary|General,END,,,,,,,,,,,23,
13.042988,clCreateCommandQueue|General,START,,,,,,,,,,,24,
13.057163,clCreateCommandQueue|General,END,,,,,,,,,,,24,
13.066154,clCreateKernel|General,START,,,,,,,,,,,25,
13.940734,clCreateKernel|General,END,,,,,,,,,,,25,
13.950296,clCreateBuffer|General,START,,,,,,,,,,,26,
13.966037,clCreateBuffer|General,END,,,,,,,,,,,26,
