Profile Summary
Generated on: 2020-10-18 02:59:42
Msec since Epoch: 1602989982258
Target platform: 
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 2d6bfe4ce91051d4e5b499d38fc493586dd4859a
Build version date: 2020-05-26 18:53:06 
Target devices: edge-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateProgramWithBinary,1,185.751,185.751,185.751,185.751,
clReleaseProgram,1,60.3705,60.3705,60.3705,60.3705,
clReleaseMemObject,1548,59.2498,0.02083,0.0382751,0.17765,
clEnqueueTask,256,58.5982,0.22099,0.228899,0.54214,
clEnqueueMigrateMemObjects,512,50.7903,0.08892,0.0991998,0.62234,
clRetainMemObject,1536,47.5169,0.02069,0.0309355,0.14912,
clReleaseEvent,1536,33.2368,0.02011,0.0216386,0.10229,
clCreateBuffer,12,24.1257,0.09289,2.01048,15.1277,
clRetainEvent,768,16.9689,0.02047,0.0220949,0.19327,
clSetKernelArg,768,16.9627,0.02067,0.0220868,0.07383,
clCreateContext,1,3.95768,3.95768,3.95768,3.95768,
clCreateKernel,1,3.81945,3.81945,3.81945,3.81945,
clReleaseContext,1,0.25028,0.25028,0.25028,0.25028,
clGetPlatformIDs,2,0.14395,0.02433,0.071975,0.11962,
clReleaseDevice,2,0.13301,0.02806,0.066505,0.10495,
clReleaseKernel,1,0.12757,0.12757,0.12757,0.12757,
clCreateCommandQueue,1,0.07522,0.07522,0.07522,0.07522,
clGetDeviceIDs,2,0.05392,0.0216,0.02696,0.03232,
clGetPlatformInfo,2,0.04919,0.02173,0.024595,0.02746,
clRetainDevice,2,0.044,0.02076,0.022,0.02324,
clReleaseCommandQueue,1,0.03752,0.03752,0.03752,0.03752,
clFinish,1,0.03076,0.03076,0.03076,0.03076,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
mmult_fpga,256,46.7178,0.14894,0.182491,0.3827,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
edge-0,mmult_fpga_1,mmult_fpga,1:1:1,1:1:1,256,Yes,1,1.000000x,3.66191,0.0138733,0.0143043,0.01949,300,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,256,66.277731,0.690393,4.096,15.820940,0.061801,
context0:1,WRITE,256,117.955894,1.228707,8.192,17.779120,0.069450,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
edge-0,mmult_fpga_1/m_axi_gmem,A|B|C,HP0,READ,32768,1055.65,9.16362,0.064,181.879,
edge-0,mmult_fpga_1/m_axi_gmem,A|B|C,HP0,WRITE,1024,3246.53,28.1817,1.024,315.413,


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
edge-0,mmult_fpga_1,33792,93.0909,2.27273,3.14573,1.04858,2.09715,1362.03,


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
367881921312,mmult_fpga,0,0,edge-0,569.019,0.3827,1:1:1,1:1:1,
367881921312,mmult_fpga,0,0,edge-0,994.246,0.23232,1:1:1,1:1:1,
367881921312,mmult_fpga,0,0,edge-0,1030.53,0.22994,1:1:1,1:1:1,
367881921312,mmult_fpga,0,0,edge-0,1012.39,0.22971,1:1:1,1:1:1,
367881921312,mmult_fpga,0,0,edge-0,825.379,0.22892,1:1:1,1:1:1,
367881921312,mmult_fpga,0,0,edge-0,987.008,0.22755,1:1:1,1:1:1,
367881921312,mmult_fpga,0,0,edge-0,878.059,0.21794,1:1:1,1:1:1,
367881921312,mmult_fpga,0,0,edge-0,738.345,0.21504,1:1:1,1:1:1,
367881921312,mmult_fpga,0,0,edge-0,832.639,0.20431,1:1:1,1:1:1,
367881921312,mmult_fpga,0,0,edge-0,967.103,0.20352,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
993038336,0,0,568.23,0.168530,8.192,48.608556,
993038336,0,0,946.713,0.119400,8.192,68.609715,
991404032,0,0,785.002,0.118780,8.192,68.967840,
1006112768,0,0,781.376,0.106270,8.192,77.086666,
992964608,0,0,943.084,0.105200,8.192,77.870722,
993038336,0,0,627.159,0.104160,8.192,78.648233,
991404032,0,0,574.457,0.087840,8.192,93.260474,
1006112768,0,0,570.565,0.087590,8.192,93.526658,
1006112768,0,0,890.424,0.082240,8.192,99.610895,
993038336,0,0,634.416,0.081100,8.192,101.011097,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
984121344,0,0,589.957,0.148130,4.096,27.651387,
991604736,0,0,571.706,0.125600,4.096,32.611465,
984121344,0,0,858.483,0.114390,4.096,35.807326,
969621504,0,0,696.985,0.106760,4.096,38.366429,
991604736,0,0,854.855,0.104660,4.096,39.136251,
984350720,0,0,693.373,0.104520,4.096,39.188672,
984350720,0,0,569.613,0.076290,4.096,53.689868,
991604736,0,0,702.44,0.070830,4.096,57.828604,
969621504,0,0,639.01,0.064380,4.096,63.622243,
984350720,0,0,591.84,0.062120,4.096,65.936896,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,edge-0,463.534670,
CU_CALLS,edge-0|mmult_fpga_1,256,
NUM_MONITORS,edge-0|XCL_PERF_MON_ACCEL|1,1,
NUM_MONITORS,edge-0|XCL_PERF_MON_MEMORY|1,1,
NUM_MONITORS,edge-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,512,
MEMORY_USAGE,edge-0|HP0,1,
MEMORY_USAGE,edge-0|HP1,0,
MEMORY_USAGE,edge-0|HP2,0,
MEMORY_USAGE,edge-0|HP3,0,
MEMORY_USAGE,edge-0|HPC0,0,
MEMORY_USAGE,edge-0|HPC1,0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,mmult_fpga_1/m_axi_gmem,512,
KERNEL_COUNT,mmult_fpga,1,
OBJECTS_RELEASED,all,1,
TRACE_MEMORY,all,FIFO,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,mmult_fpga,1,
COMMAND_QUEUE_OOO,367881752544,0,
KERNEL_BUFFER_INFO,mmult_fpga|A|HP0|0,4096,
KERNEL_BUFFER_INFO,mmult_fpga|B|HP0|0,4096,
KERNEL_BUFFER_INFO,mmult_fpga|C|HP0|0,4096,
TRACE_BUFFER_FULL,edge-0,0,
MEMORY_TYPE_BIT_WIDTH,edge-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,edge-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,edge-0|PLRAM,512,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,coarse,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,all,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,4095M,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,15.8209,
BUFFER_WR_ACTIVE_TIME_MS,all,17.7791,
BUFFER_TX_ACTIVE_TIME_MS,all,464.632,
APPLICATION_RUN_TIME_MS,all,1098.08,
TOTAL_KERNEL_RUN_TIME_MS,all,463.535,


