Timeline Trace
Generated on: 2020-10-18 02:59:42
Msec since Epoch: 1602989982259
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 2d6bfe4ce91051d4e5b499d38fc493586dd4859a
Build version date: 2020-05-26 18:53:06 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
104.51328,clGetPlatformIDs|General,START,,,,,,,,,,,0,
104.6329,clGetPlatformIDs|General,END,,,,,,,,,,,0,
104.6833,clGetPlatformIDs|General,START,,,,,,,,,,,1,
104.70763,clGetPlatformIDs|General,END,,,,,,,,,,,1,
104.73839,clGetPlatformInfo|General,START,,,,,,,,,,,2,
104.76585,clGetPlatformInfo|General,END,,,,,,,,,,,2,
104.78725,clGetPlatformInfo|General,START,,,,,,,,,,,3,
104.80898,clGetPlatformInfo|General,END,,,,,,,,,,,3,
104.90561,clGetDeviceIDs|General,START,,,,,,,,,,,4,
104.93793,clGetDeviceIDs|General,END,,,,,,,,,,,4,
104.95999,clGetDeviceIDs|General,START,,,,,,,,,,,5,
104.98159,clGetDeviceIDs|General,END,,,,,,,,,,,5,
105.00879,clRetainDevice|General,START,,,,,,,,,,,6,
105.03203,clRetainDevice|General,END,,,,,,,,,,,6,
105.05297,clRetainDevice|General,START,,,,,,,,,,,7,
105.07373,clRetainDevice|General,END,,,,,,,,,,,7,
105.09846,clCreateContext|General,START,,,,,,,,,,,8,
109.05614,clCreateContext|General,END,,,,,,,,,,,8,
352.56917,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
538.32037,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
538.43652,clCreateCommandQueue|General,START,,,,,,,,,,,10,
538.51174,clCreateCommandQueue|General,END,,,,,,,,,,,10,
538.54041,clCreateKernel|General,START,,,,,,,,,,,11,
542.35986,clCreateKernel|General,END,,,,,,,,,,,11,
542.42423,clCreateBuffer|General,START,,,,,,,,,,,12,
542.94794,clCreateBuffer|General,END,,,,,,,,,,,12,
542.97462,clCreateBuffer|General,START,,,,,,,,,,,13,
558.10234,clCreateBuffer|General,END,,,,,,,,,,,13,
558.12856,clCreateBuffer|General,START,,,,,,,,,,,14,
558.23843,clCreateBuffer|General,END,,,,,,,,,,,14,
558.26626,clCreateBuffer|General,START,,,,,,,,,,,15,
558.36479,clCreateBuffer|General,END,,,,,,,,,,,15,
558.38956,clCreateBuffer|General,START,,,,,,,,,,,16,
558.50826,clCreateBuffer|General,END,,,,,,,,,,,16,
558.53354,clCreateBuffer|General,START,,,,,,,,,,,17,
558.63211,clCreateBuffer|General,END,,,,,,,,,,,17,
558.68392,clCreateBuffer|General,START,,,,,,,,,,,18,
558.79355,clCreateBuffer|General,END,,,,,,,,,,,18,
558.81853,clCreateBuffer|General,START,,,,,,,,,,,19,
558.91554,clCreateBuffer|General,END,,,,,,,,,,,19,
558.93999,clCreateBuffer|General,START,,,,,,,,,,,20,
559.03288,clCreateBuffer|General,END,,,,,,,,,,,20,
559.07005,clCreateBuffer|General,START,,,,,,,,,,,21,
559.17644,clCreateBuffer|General,END,,,,,,,,,,,21,
559.20073,clCreateBuffer|General,START,,,,,,,,,,,22,
566.74515,clCreateBuffer|General,END,,,,,,,,,,,22,
566.7705,clCreateBuffer|General,START,,,,,,,,,,,23,
566.8688,clCreateBuffer|General,END,,,,,,,,,,,23,
567.22307,clSetKernelArg|General,START,,,,,,,,,,,24,
567.26467,clSetKernelArg|General,END,,,,,,,,,,,24,
567.28617,clSetKernelArg|General,START,,,,,,,,,,,25,
567.31048,clSetKernelArg|General,END,,,,,,,,,,,25,
567.33121,clSetKernelArg|General,START,,,,,,,,,,,26,
567.35369,clSetKernelArg|General,END,,,,,,,,,,,26,
567.37828,clRetainMemObject|General,START,,,,,,,,,,,27,
567.4052,clRetainMemObject|General,END,,,,,,,,,,,27,
567.42654,clRetainMemObject|General,START,,,,,,,,,,,28,
567.44871,clRetainMemObject|General,END,,,,,,,,,,,28,
567.46981,clRetainMemObject|General,START,,,,,,,,,,,29,
567.49129,clRetainMemObject|General,END,,,,,,,,,,,29,
567.512,clRetainMemObject|General,START,,,,,,,,,,,30,
567.53357,clRetainMemObject|General,END,,,,,,,,,,,30,
567.56024,clEnqueueMigrateMemObjects|367881752560,START,,,,,,,,,,,31,
567.67207,WRITE_BUFFER,QUEUE,0X3b309000|HP0,8192,,,,,,,,,
567.72721,WRITE_BUFFER,SUBMIT,0X3b309000|HP0,8192,,,,,,,,,
568.18258,clEnqueueMigrateMemObjects|367881752560,END,,,,,,,,,,,31,
568.2247,clReleaseMemObject|General,START,,,,,,,,,,,32,
568.22957,WRITE_BUFFER,START,0X3b309000|HP0|0X7f8623d170,8192,,,,,,,0,None,
568.25889,clReleaseMemObject|General,END,,,,,,,,,,,32,
568.3981,WRITE_BUFFER,END,0X3b309000|HP0|0X7f8623d170,8192,,,,,,,0,None,
568.4114,clReleaseMemObject|General,START,,,,,,,,,,,33,
568.48578,clReleaseMemObject|General,END,,,,,,,,,,,33,
568.50784,clReleaseMemObject|General,START,,,,,,,,,,,34,
568.53054,clReleaseMemObject|General,END,,,,,,,,,,,34,
568.55159,clReleaseMemObject|General,START,,,,,,,,,,,35,
568.57297,clReleaseMemObject|General,END,,,,,,,,,,,35,
568.60038,clRetainEvent|General,START,,,,,,,,,,,36,
568.62668,clRetainEvent|General,END,,,,,,,,,,,36,
568.65317,clEnqueueTask|367881752560,START,,,,,,,,,,,37,
568.70779,DEPENDENCY_EVENT,,0,1,
568.7633,DEPENDENCY_EVENT,,1,2,
568.90874,KERNEL|edge-0|kernel|mmult_fpga|1:1:1|all,QUEUE,0X55A778A320,1,,,,,,,,,
568.9833,KERNEL|edge-0|kernel|mmult_fpga|1:1:1|all,SUBMIT,0X55A778A320,1,,,,,,,,,
569.01866,KERNEL|edge-0|kernel|mmult_fpga|1:1:1|all,START,0X55A778A320,1,,,,,,,2,None,
569.19531,clEnqueueTask|367881752560,END,,,,,,,,,,,37,
569.22518,clRetainEvent|General,START,,,,,,,,,,,38,
569.24916,clRetainEvent|General,END,,,,,,,,,,,38,
569.27051,clRetainMemObject|General,START,,,,,,,,,,,39,
569.29458,clRetainMemObject|General,END,,,,,,,,,,,39,
569.31612,clRetainMemObject|General,START,,,,,,,,,,,40,
569.33776,clRetainMemObject|General,END,,,,,,,,,,,40,
569.36305,clEnqueueMigrateMemObjects|367881752560,START,,,,,,,,,,,41,
569.40136,KERNEL|edge-0|kernel|mmult_fpga|1:1:1|all,END,0X55A778A320,1,,,,,,,2,None,
569.50411,DEPENDENCY_EVENT,,2,3,
569.53038,READ_BUFFER,QUEUE,0X3aac0000|HP0,4096,,,,,,,,,
569.559,READ_BUFFER,SUBMIT,0X3aac0000|HP0,4096,,,,,,,,,
569.58983,clEnqueueMigrateMemObjects|367881752560,END,,,,,,,,,,,41,
569.61336,READ_BUFFER,START,0X3aac0000|HP0|0X7f86a3e170,4096,,,,,,,3,None,
569.6164,clReleaseMemObject|General,START,,,,,,,,,,,42,
569.68965,READ_BUFFER,END,0X3aac0000|HP0|0X7f86a3e170,4096,,,,,,,3,None,
569.70125,clReleaseMemObject|General,END,,,,,,,,,,,42,
569.76116,clReleaseMemObject|General,START,,,,,,,,,,,43,
569.78346,clReleaseMemObject|General,END,,,,,,,,,,,43,
569.8048,clRetainEvent|General,START,,,,,,,,,,,44,
569.8262,clRetainEvent|General,END,,,,,,,,,,,44,
569.85226,clReleaseEvent|General,START,,,,,,,,,,,45,
569.87716,clReleaseEvent|General,END,,,,,,,,,,,45,
569.89724,clReleaseEvent|General,START,,,,,,,,,,,46,
569.91813,clReleaseEvent|General,END,,,,,,,,,,,46,
569.9382,clReleaseEvent|General,START,,,,,,,,,,,47,
569.95905,clReleaseEvent|General,END,,,,,,,,,,,47,
569.97895,clReleaseEvent|General,START,,,,,,,,,,,48,
570.00213,clReleaseEvent|General,END,,,,,,,,,,,48,
570.02237,clReleaseEvent|General,START,,,,,,,,,,,49,
570.04769,clReleaseEvent|General,END,,,,,,,,,,,49,
