Timeline Trace
Generated on: 2020-10-18 03:28:22
Msec since Epoch: 1602991702719
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 2d6bfe4ce91051d4e5b499d38fc493586dd4859a
Build version date: 2020-05-26 18:53:06 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
25.00603,clGetPlatformIDs|General,START,,,,,,,,,,,0,
25.13423,clGetPlatformIDs|General,END,,,,,,,,,,,0,
25.17982,clGetPlatformIDs|General,START,,,,,,,,,,,1,
25.20475,clGetPlatformIDs|General,END,,,,,,,,,,,1,
25.23602,clGetPlatformInfo|General,START,,,,,,,,,,,2,
25.26331,clGetPlatformInfo|General,END,,,,,,,,,,,2,
25.28459,clGetPlatformInfo|General,START,,,,,,,,,,,3,
25.30659,clGetPlatformInfo|General,END,,,,,,,,,,,3,
25.81653,clGetDeviceIDs|General,START,,,,,,,,,,,4,
25.85195,clGetDeviceIDs|General,END,,,,,,,,,,,4,
25.8739,clGetDeviceIDs|General,START,,,,,,,,,,,5,
25.89554,clGetDeviceIDs|General,END,,,,,,,,,,,5,
25.92147,clRetainDevice|General,START,,,,,,,,,,,6,
25.94574,clRetainDevice|General,END,,,,,,,,,,,6,
25.96669,clRetainDevice|General,START,,,,,,,,,,,7,
25.98751,clRetainDevice|General,END,,,,,,,,,,,7,
26.01109,clCreateContext|General,START,,,,,,,,,,,8,
29.96122,clCreateContext|General,END,,,,,,,,,,,8,
274.96658,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
460.98575,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
461.10389,clCreateCommandQueue|General,START,,,,,,,,,,,10,
461.16027,clCreateCommandQueue|General,END,,,,,,,,,,,10,
461.18837,clCreateKernel|General,START,,,,,,,,,,,11,
466.95411,clCreateKernel|General,END,,,,,,,,,,,11,
467.01707,clCreateBuffer|General,START,,,,,,,,,,,12,
467.526,clCreateBuffer|General,END,,,,,,,,,,,12,
467.55378,clCreateBuffer|General,START,,,,,,,,,,,13,
482.60379,clCreateBuffer|General,END,,,,,,,,,,,13,
482.62956,clCreateBuffer|General,START,,,,,,,,,,,14,
482.77929,clCreateBuffer|General,END,,,,,,,,,,,14,
482.80803,clCreateBuffer|General,START,,,,,,,,,,,15,
482.95374,clCreateBuffer|General,END,,,,,,,,,,,15,
482.9791,clCreateBuffer|General,START,,,,,,,,,,,16,
483.12263,clCreateBuffer|General,END,,,,,,,,,,,16,
483.14797,clCreateBuffer|General,START,,,,,,,,,,,17,
483.28596,clCreateBuffer|General,END,,,,,,,,,,,17,
483.32358,clCreateBuffer|General,START,,,,,,,,,,,18,
483.49027,clCreateBuffer|General,END,,,,,,,,,,,18,
483.51563,clCreateBuffer|General,START,,,,,,,,,,,19,
483.65653,clCreateBuffer|General,END,,,,,,,,,,,19,
483.68157,clCreateBuffer|General,START,,,,,,,,,,,20,
483.8236,clCreateBuffer|General,END,,,,,,,,,,,20,
483.86207,clCreateBuffer|General,START,,,,,,,,,,,21,
484.01356,clCreateBuffer|General,END,,,,,,,,,,,21,
484.03929,clCreateBuffer|General,START,,,,,,,,,,,22,
491.78569,clCreateBuffer|General,END,,,,,,,,,,,22,
491.81215,clCreateBuffer|General,START,,,,,,,,,,,23,
491.96052,clCreateBuffer|General,END,,,,,,,,,,,23,
492.32374,clSetKernelArg|General,START,,,,,,,,,,,24,
492.36958,clSetKernelArg|General,END,,,,,,,,,,,24,
492.39116,clSetKernelArg|General,START,,,,,,,,,,,25,
492.41557,clSetKernelArg|General,END,,,,,,,,,,,25,
492.43651,clSetKernelArg|General,START,,,,,,,,,,,26,
492.45893,clSetKernelArg|General,END,,,,,,,,,,,26,
492.48431,clRetainMemObject|General,START,,,,,,,,,,,27,
492.51223,clRetainMemObject|General,END,,,,,,,,,,,27,
492.53324,clRetainMemObject|General,START,,,,,,,,,,,28,
492.55582,clRetainMemObject|General,END,,,,,,,,,,,28,
492.58951,clRetainMemObject|General,START,,,,,,,,,,,29,
492.61307,clRetainMemObject|General,END,,,,,,,,,,,29,
492.63419,clRetainMemObject|General,START,,,,,,,,,,,30,
492.6558,clRetainMemObject|General,END,,,,,,,,,,,30,
492.68234,clEnqueueMigrateMemObjects|368526270448,START,,,,,,,,,,,31,
492.79943,WRITE_BUFFER,QUEUE,0X3ab57000|HP0,8192,,,,,,,,,
